
 ****** Running generation 0 ****** 


RUN: run status: enemy: 8; fitness: 11.451780897237628; player life: 0; enemy life: 80.0; time: 698

RUN: run status: enemy: 8; fitness: 85.08492415940043; player life: 16.600000000000605; enemy life: 0; time: 717

RUN: run status: enemy: 8; fitness: 11.672063216270805; player life: 0; enemy life: 80.0; time: 560

RUN: run status: enemy: 8; fitness: 65.73850831567896; player life: 0; enemy life: 20.0; time: 524

RUN: run status: enemy: 8; fitness: 11.744249958246634; player life: 0; enemy life: 80.0; time: 521

RUN: run status: enemy: 8; fitness: 92.80506424239104; player life: 80.20000000000019; enemy life: 0; time: 184

RUN: run status: enemy: 8; fitness: 47.63352955226856; player life: 0; enemy life: 40.0; time: 582

RUN: run status: enemy: 8; fitness: 85.32313081588588; player life: 14.5000000000006; enemy life: 0; time: 458

RUN: run status: enemy: 8; fitness: 11.693724713051985; player life: 0; enemy life: 80.0; time: 548

RUN: run status: enemy: 8; fitness: 65.98140678550376; player life: 0; enemy life: 20.0; time: 411

RUN: run status: enemy: 8; fitness: 11.875316609105795; player life: 0; enemy life: 80.0; time: 457

RUN: run status: enemy: 8; fitness: 94.11597895526675; player life: 89.2000000000001; enemy life: 0; time: 122

RUN: run status: enemy: 8; fitness: 84.56873282559589; player life: 5.800000000000587; enemy life: 0; time: 408

RUN: run status: enemy: 8; fitness: 92.7670404150784; player life: 83.20000000000016; enemy life: 0; time: 258

RUN: run status: enemy: 8; fitness: 88.16353644806854; player life: 36.4000000000006; enemy life: 0; time: 239

RUN: run status: enemy: 8; fitness: 84.13027909447737; player life: 4.600000000000588; enemy life: 0; time: 561

RUN: run status: enemy: 8; fitness: 31.892244721017924; player life: 28.000000000000632; enemy life: 60.0; time: 1000

RUN: run status: enemy: 8; fitness: -6.804614520062624; player life: 0; enemy life: 100; time: 902

RUN: run status: enemy: 8; fitness: 93.71385026742618; player life: 88.9000000000001; enemy life: 0; time: 177

RUN: run status: enemy: 8; fitness: 11.910955124553155; player life: 0; enemy life: 80.0; time: 441

RUN: run status: enemy: 8; fitness: 89.38617481767031; player life: 51.70000000000046; enemy life: 0; time: 325

RUN: run status: enemy: 8; fitness: 86.5561903881308; player life: 25.300000000000626; enemy life: 0; time: 393

RUN: run status: enemy: 8; fitness: 11.25124045250832; player life: 0; enemy life: 80.0; time: 853

RUN: run status: enemy: 8; fitness: 29.446066595974187; player life: 0; enemy life: 60.0; time: 702

